comp,round,team1,team2,date
bfl,R1,ERIMUS,DYNAMO DURHAM,19/09/2026
bfl,R1,WEETABIX 2 LONG FC,EDINBURGH STEALERS,19/09/2026
bfl,R1,WENGER BOYS,MUNTERS UNITED,19/09/2026
bfl,R1,SHEFSPANYOL,WOODHALL SPA WHITES,19/09/2026
bfl,R1,DUGGANS ARMANDILLOS,#holyf**k,19/09/2026
bfl,R1,ROBS ROVERS,NEWQUAY HORNETS,19/09/2026
bfl,R1,ATLETICO DEC,PHOENIX FLYERS,19/09/2026
bfl,R1,CF CALA ALCAUFAR,KING'S XI,19/09/2026
bfl,R1,MIDDLESBROTHERS,ALTERNATIVE ULSTERMEN,19/09/2026
bfl,R1,RASH IN THE ATTIC,SURREAL MADRID,19/09/2026
